countries,totalgames,total_wins,total_loses,total_x,friendly_wins,friendly_loses,friendly_x,no_friendly_wins,no_friendly_loses,no_friendly_x,totalgames_2015_2021,total_wins_2015_2021,total_loses_2015_2021,total_x_2015_2021,total_goals_scored,total_goals_scored_in,total_goals_scored_2015_2021,total_goals_scored_in_2015_2021,category

Scotland,790,375,246,169,102,84,45,273,162,124,53,24,20,9,1364,972,79,67,Team_with_Fifa_Rank( 1--89)

England,1020,580,197,243,227,90,98,353,107,145,72,45,13,14,2230,999,146,53,Team_with_Fifa_Rank( 1--89)

Wales,667,215,309,143,49,73,34,166,236,109,58,28,17,13,832,1087,69,49,Team_with_Fifa_Rank( 1--89)

Northern Ireland,654,166,338,150,30,55,34,136,283,116,59,22,23,14,680,1233,62,62,Team_with_Fifa_Rank( 1--89)

United States,691,299,247,145,130,147,86,169,100,59,83,45,22,16,1020,918,166,84,Team_with_Fifa_Rank( 1--89)

Canada,383,136,160,87,61,98,39,75,62,48,42,22,13,7,457,526,96,45,Team_with_Fifa_Rank( 1--89)

Uruguay,891,386,288,217,123,110,82,263,178,135,59,28,19,12,1404,1119,91,63,Team_with_Fifa_Rank( 1--89)

Argentina,987,529,213,245,188,79,104,341,134,141,66,35,12,19,1837,1035,117,60,Team_with_Fifa_Rank( 1--89)

Austria,800,334,292,174,182,178,106,152,114,68,60,33,16,11,1426,1252,95,61,Team_with_Fifa_Rank( 1--89)

Hungary,943,442,294,207,264,171,130,178,123,77,58,23,22,13,1920,1407,77,73,Team_with_Fifa_Rank( 1--89)

Czechoslovakia,497,223,161,113,120,100,64,103,61,49,0,0,0,0,917,690,0,0,Team_with_Fifa_Rank( 180--269)

Belgium,779,341,272,166,167,180,99,174,92,67,72,55,8,9,1387,1204,205,62,Team_with_Fifa_Rank( 1--89)

France,851,425,246,180,215,173,100,210,73,80,78,55,11,12,1516,1109,158,69,Team_with_Fifa_Rank( 1--89)

Switzerland,808,284,348,176,151,214,92,133,134,84,66,36,16,14,1182,1354,122,62,Team_with_Fifa_Rank( 1--89)

Netherlands,796,404,212,180,193,143,116,211,69,64,62,33,17,12,1640,981,121,67,Team_with_Fifa_Rank( 1--89)

Germany,961,560,203,198,303,149,120,257,54,78,74,42,15,17,2144,1117,163,78,Team_with_Fifa_Rank( 1--89)

Sweden,1030,506,299,225,244,175,125,262,124,100,78,36,24,18,2030,1321,115,74,Team_with_Fifa_Rank( 1--89)

Norway,814,298,331,185,139,160,92,159,171,93,57,26,19,12,1226,1346,84,65,Team_with_Fifa_Rank( 1--89)

Italy,812,431,154,227,190,87,111,241,67,116,68,40,10,18,1393,782,129,49,Team_with_Fifa_Rank( 1--89)

Chile,769,294,313,162,126,119,69,168,194,93,72,31,23,18,1098,1110,110,87,Team_with_Fifa_Rank( 1--89)

Finland,756,196,404,156,91,165,72,105,239,84,64,26,26,12,892,1579,69,72,Team_with_Fifa_Rank( 1--89)

Luxembourg,413,38,323,52,18,101,29,20,222,23,59,15,35,9,254,1110,52,107,Team_with_Fifa_Rank( 90--179)

Catalonia,47,18,17,12,18,17,12,0,0,0,2,0,1,1,73,83,3,4,Team_with_Fifa_Rank( 180--269)

Russia,705,360,160,185,155,82,111,205,78,74,69,30,24,15,1215,686,125,90,Team_with_Fifa_Rank( 1--89)

Denmark,806,364,270,172,148,132,71,216,138,101,65,32,11,22,1444,1110,120,49,Team_with_Fifa_Rank( 1--89)

Brazil,990,631,158,201,294,55,83,337,103,118,69,48,6,15,2170,900,143,33,Team_with_Fifa_Rank( 1--89)

Basque Country,57,37,9,11,37,9,11,0,0,0,5,3,0,2,154,75,9,4,Team_with_Fifa_Rank( 180--269)

Japan,633,306,184,143,106,87,50,200,97,93,79,46,18,15,1124,723,171,71,Team_with_Fifa_Rank( 1--89)

Philippines,232,65,128,39,23,39,11,42,89,28,47,15,20,12,275,506,58,77,Team_with_Fifa_Rank( 90--179)

Paraguay,722,257,273,192,94,90,75,163,183,117,53,12,23,18,950,1038,54,79,Team_with_Fifa_Rank( 180--269)

Estonia,488,120,260,108,77,120,66,43,140,42,72,19,36,17,487,870,66,115,Team_with_Fifa_Rank( 90--179)

Provence,17,4,12,1,0,2,0,4,10,1,0,0,0,0,38,51,0,0,Team_with_Fifa_Rank( 180--269)

Costa Rica,610,258,197,155,70,92,62,188,105,93,71,23,30,18,988,716,79,87,Team_with_Fifa_Rank( 1--89)

El Salvador,504,168,225,111,52,109,56,116,116,55,47,21,17,9,616,743,51,58,Team_with_Fifa_Rank( 1--89)

Guatemala,448,159,176,113,64,94,50,95,82,63,33,15,12,6,614,609,56,45,Team_with_Fifa_Rank( 90--179)

Yugoslavia,481,223,160,98,105,100,56,118,60,42,0,0,0,0,940,740,0,0,Team_with_Fifa_Rank( 180--269)

Poland,827,356,262,209,216,172,141,140,90,68,65,33,15,17,1391,1110,119,66,Team_with_Fifa_Rank( 1--89)

Spain,705,411,131,163,178,69,90,233,62,73,69,44,7,18,1420,633,165,50,Team_with_Fifa_Rank( 1--89)

Portugal,624,303,174,147,110,99,66,193,75,81,78,48,11,19,1057,718,162,58,Team_with_Fifa_Rank( 1--89)

Brittany,12,6,3,3,6,3,3,0,0,0,0,0,0,0,18,15,0,0,Team_with_Fifa_Rank( 180--269)

Romania,704,309,214,181,134,116,91,175,98,90,59,24,16,19,1153,905,87,68,Team_with_Fifa_Rank( 1--89)

New Zealand,362,146,151,65,68,101,36,78,50,29,29,11,13,5,619,570,34,30,Team_with_Fifa_Rank( 90--179)

Australia,517,257,148,112,114,92,57,143,56,55,58,31,13,14,1046,571,118,53,Team_with_Fifa_Rank( 1--89)



Galicia,9,4,2,3,4,2,3,0,0,0,1,0,0,1,18,13,1,1,Team_with_Fifa_Rank( 180--269)

Central Spain,2,1,1,0,1,1,0,0,0,0,0,0,0,0,2,4,0,0,Team_with_Fifa_Rank( 180--269)

Mexico,876,444,231,201,209,127,105,235,104,96,93,55,20,18,1525,941,159,101,Team_with_Fifa_Rank( 1--89)

Andalusia,13,8,1,4,8,1,4,0,0,0,0,0,0,0,25,14,0,0,Team_with_Fifa_Rank( 180--269)

Asturias,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,Team_with_Fifa_Rank( 180--269)

China PR,596,287,174,135,131,93,67,156,81,68,64,27,21,16,1079,654,106,68,Team_with_Fifa_Rank( 1--89)

Lithuania,378,104,203,71,38,88,30,66,115,41,57,9,38,10,395,683,35,116,Team_with_Fifa_Rank( 90--179)

Turkey,579,224,212,143,108,90,80,116,122,63,68,32,14,22,778,808,101,68,Team_with_Fifa_Rank( 1--89)

Aruba,122,21,74,27,10,27,16,11,47,11,17,2,13,2,154,299,14,40,Team_with_Fifa_Rank( 180--269)

Curaçao,334,124,123,87,60,33,32,64,90,55,40,19,11,10,534,536,75,35,Team_with_Fifa_Rank( 1--89)

Bulgaria,682,251,261,170,112,128,94,139,133,76,50,15,25,10,957,1010,47,81,Team_with_Fifa_Rank( 1--89)

Egypt,636,311,167,158,140,91,78,171,76,80,59,33,14,12,1027,642,86,40,Team_with_Fifa_Rank( 1--89)

South Africa,404,175,113,116,78,55,44,97,58,72,72,27,18,27,535,405,88,67,Team_with_Fifa_Rank( 1--89)

Haiti,450,187,161,102,70,84,53,117,77,49,39,16,16,7,707,600,61,56,Team_with_Fifa_Rank( 1--89)

Jamaica,567,222,216,129,105,123,71,117,93,58,57,25,21,11,760,754,84,69,Team_with_Fifa_Rank( 1--89)

Republic of Ireland,576,220,191,165,99,92,63,121,99,102,62,19,19,24,783,708,62,61,Team_with_Fifa_Rank( 1--89)

Kenya,650,247,242,161,121,109,78,126,133,83,62,22,16,24,908,884,62,57,Team_with_Fifa_Rank( 180--269)

Uganda,626,266,191,169,103,84,81,163,107,88,79,30,21,28,965,729,78,51,Team_with_Fifa_Rank( 1--89)

Bolivia,466,103,250,113,37,73,42,66,177,71,53,10,32,11,484,907,50,107,Team_with_Fifa_Rank( 1--89)

Peru,631,201,277,153,85,106,62,116,171,91,66,26,25,15,774,911,80,75,Team_with_Fifa_Rank( 1--89)

Honduras,519,210,170,139,76,71,69,134,99,70,63,22,22,19,762,638,78,80,Team_with_Fifa_Rank( 1--89)

Guyana,266,82,130,54,43,76,32,39,54,22,25,10,11,4,338,461,50,38,Team_with_Fifa_Rank( 90--179)

Trinidad and Tobago,669,291,239,139,148,126,83,143,113,56,53,11,32,10,1140,879,66,96,Team_with_Fifa_Rank( 90--179)

Belarus,261,80,116,65,40,40,36,40,76,29,59,19,27,13,313,384,58,90,Team_with_Fifa_Rank( 1--89)

Ukraine,279,125,75,79,51,32,34,74,43,45,62,30,16,16,386,282,83,67,Team_with_Fifa_Rank( 1--89)

Barbados,265,89,117,59,42,57,33,47,60,26,37,12,19,6,345,428,44,52,Team_with_Fifa_Rank( 90--179)

Nicaragua,159,28,116,15,9,30,10,19,86,5,43,13,23,7,144,445,57,63,Team_with_Fifa_Rank( 90--179)

Greece,575,213,217,145,83,99,76,130,118,69,58,22,20,16,709,796,63,59,Team_with_Fifa_Rank( 1--89)

Martinique,304,139,87,78,65,38,39,74,49,39,28,13,9,6,561,384,46,31,Team_with_Fifa_Rank( 180--269)

Dominica,184,43,103,38,14,22,3,29,81,35,22,6,11,5,213,378,27,35,Team_with_Fifa_Rank( 90--179)

Silesia,8,3,3,2,3,3,2,0,0,0,0,0,0,0,24,17,0,0,Team_with_Fifa_Rank( 180--269)

Cuba,339,115,143,81,27,51,36,88,92,45,37,9,23,5,443,511,35,86,Team_with_Fifa_Rank( 90--179)

Guadeloupe,236,97,95,44,36,45,20,61,50,24,18,6,8,4,397,350,31,27,Team_with_Fifa_Rank( 180--269)

Israel,437,152,179,106,69,91,52,83,88,54,46,14,25,7,633,638,61,72,Team_with_Fifa_Rank( 1--89)

Indonesia,554,208,241,105,60,71,29,148,170,76,39,14,17,8,921,931,58,67,Team_with_Fifa_Rank( 90--179)

Suriname,350,155,114,81,80,49,35,75,65,46,24,14,7,3,682,500,51,25,Team_with_Fifa_Rank( 90--179)

French Guiana,157,46,79,32,12,35,9,34,44,23,27,12,11,4,233,278,44,36,Team_with_Fifa_Rank( 180--269)

Saint Lucia,199,66,103,30,13,33,7,53,70,23,15,4,7,4,286,381,13,20,Team_with_Fifa_Rank( 90--179)

Ecuador,520,157,236,127,83,78,68,74,158,59,55,24,21,10,639,847,91,74,Team_with_Fifa_Rank( 1--89)

Colombia,555,215,188,152,94,67,69,121,121,83,65,31,15,19,680,659,90,58,Team_with_Fifa_Rank( 1--89)

Venezuela,386,94,206,86,60,67,45,34,139,41,55,15,23,17,394,748,62,78,Team_with_Fifa_Rank( 1--89)

Saint Kitts and Nevis,181,73,74,34,21,24,8,52,50,26,31,14,12,5,316,278,45,38,Team_with_Fifa_Rank( 90--179)

Grenada,214,77,91,46,14,30,15,63,61,31,30,12,14,4,372,386,38,60,Team_with_Fifa_Rank( 90--179)

India,406,140,175,91,39,56,28,101,119,63,53,24,18,11,563,696,84,66,Team_with_Fifa_Rank( 90--179)

Panama,435,136,192,107,62,86,52,74,106,55,73,22,32,19,497,675,73,106,Team_with_Fifa_Rank( 1--89)

Slovakia,300,121,108,71,46,47,38,75,61,33,60,27,20,13,433,381,90,66,Team_with_Fifa_Rank( 1--89)

Manchukuo,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,16,0,0,Team_with_Fifa_Rank( 180--269)

Croatia,329,174,69,86,68,29,37,106,40,49,71,37,18,16,573,334,124,78,Team_with_Fifa_Rank( 1--89)

Lebanon,276,75,122,79,25,47,42,50,75,37,46,15,15,16,316,424,49,41,Team_with_Fifa_Rank( 180--269)

Puerto Rico,121,23,77,21,6,30,6,17,47,15,21,4,14,3,121,275,19,45,Team_with_Fifa_Rank( 180--269)

Afghanistan,112,31,57,24,7,15,5,24,42,19,38,13,18,7,117,225,48,68,Team_with_Fifa_Rank( 90--179)

Iran,502,275,99,128,100,53,53,175,46,75,66,44,8,14,932,403,135,36,Team_with_Fifa_Rank( 1--89)

Mongolia,75,19,48,8,1,10,2,18,38,6,31,9,18,4,96,217,52,69,Team_with_Fifa_Rank( 90--179)

Tanzania,535,147,234,154,70,108,76,77,126,78,63,14,27,22,601,808,52,78,Team_with_Fifa_Rank( 90--179)

Zimbabwe,459,190,143,126,70,66,50,120,77,76,60,25,12,23,626,521,89,54,Team_with_Fifa_Rank( 90--179)

Zambia,723,331,201,191,134,92,83,197,109,108,84,33,21,30,1130,743,101,81,Team_with_Fifa_Rank( 1--89)

Iceland,457,142,230,85,75,91,43,67,139,42,78,30,33,15,546,766,107,117,Team_with_Fifa_Rank( 1--89)

Albania,342,90,181,71,39,37,26,51,144,45,58,23,26,9,318,531,65,73,Team_with_Fifa_Rank( 1--89)

Montenegro,118,41,46,31,17,15,11,24,31,20,53,17,24,12,143,155,64,73,Team_with_Fifa_Rank( 1--89)

Madagascar,225,85,92,48,34,29,16,51,63,32,57,24,16,17,294,345,73,67,Team_with_Fifa_Rank( 90--179)

Mauritius,250,68,130,52,45,35,23,23,95,29,47,9,28,10,310,427,35,87,Team_with_Fifa_Rank( 90--179)

Réunion,81,27,41,13,18,41,11,9,0,2,0,0,0,0,135,191,0,0,Team_with_Fifa_Rank( 180--269)

Zanzibar,205,41,123,41,8,58,8,33,65,33,9,4,3,2,187,434,12,12,Team_with_Fifa_Rank( 180--269)

Djibouti,88,4,77,7,1,17,1,3,60,6,23,2,18,3,60,333,13,68,Team_with_Fifa_Rank( 90--179)

Ethiopia,366,134,152,80,52,38,26,82,114,54,48,16,16,16,514,537,67,64,Team_with_Fifa_Rank( 90--179)

DR Congo,466,183,156,127,57,63,53,126,93,74,70,28,20,22,703,579,106,79,Team_with_Fifa_Rank( 90--179)

South Korea,865,455,188,222,134,85,73,321,103,149,83,47,17,19,1516,784,130,68,Team_with_Fifa_Rank( 1--89)

Vietnam,202,82,73,47,21,9,14,61,64,33,44,21,7,16,339,293,71,41,Team_with_Fifa_Rank( 90--179)

Macau,128,21,92,15,3,24,4,18,68,11,25,6,13,6,107,384,27,44,Team_with_Fifa_Rank( 180--269)

Dominican Republic,117,46,55,16,11,15,3,35,40,13,29,14,12,3,185,193,49,29,Team_with_Fifa_Rank( 90--179)

Cyprus,373,71,240,62,21,53,26,50,187,36,51,12,32,7,325,814,47,89,Team_with_Fifa_Rank( 90--179)

Sierra Leone,256,78,115,63,25,45,12,53,70,51,21,5,10,6,242,347,15,25,Team_with_Fifa_Rank( 90--179)

Nigeria,580,269,144,167,104,67,79,165,77,88,69,35,18,16,861,581,91,60,Team_with_Fifa_Rank( 90--179)

Syria,408,151,156,101,50,75,52,101,81,49,63,26,18,19,590,537,92,76,Team_with_Fifa_Rank( 1--89)

Serbia,286,127,84,75,46,43,29,81,41,46,62,28,17,17,438,307,97,75,Team_with_Fifa_Rank( 1--89)

Chinese Taipei,149,38,90,21,14,17,7,24,73,14,36,14,19,3,192,399,44,77,Team_with_Fifa_Rank( 90--179)

Ghana,604,288,156,160,122,80,79,166,76,81,60,27,14,19,981,619,87,50,Team_with_Fifa_Rank( 1--89)

New Caledonia,227,120,80,27,40,37,12,80,43,15,23,10,6,7,614,322,48,23,Team_with_Fifa_Rank( 90--179)

Vanuatu,174,56,96,22,13,29,10,43,67,12,19,8,7,4,341,387,55,28,Team_with_Fifa_Rank( 90--179)

Fiji,221,97,84,40,30,37,21,67,47,19,34,11,11,12,523,361,70,38,Team_with_Fifa_Rank( 90--179)

Burma,341,151,130,60,22,38,15,129,92,45,35,10,18,7,572,503,37,62,Team_with_Fifa_Rank( 180--269)

Pakistan,190,38,118,34,16,38,16,22,80,18,11,3,7,1,178,448,11,17,Team_with_Fifa_Rank( 180--269)

Sri Lanka,201,40,126,35,9,39,16,31,87,19,27,3,21,3,200,491,15,63,Team_with_Fifa_Rank( 180--269)

German DR,298,140,92,66,96,59,44,44,33,22,0,0,0,0,506,361,0,0,Team_with_Fifa_Rank( 180--269)

Tahiti,210,109,73,28,28,22,12,81,51,16,15,6,5,4,564,350,30,24,Team_with_Fifa_Rank( 90--179)

